ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.05267,0.10534,9.76834,8.0,28.5825,,,,NaN,,,,0 / 0,66024,2022-03-18 12:16:40:930
0.02873,0.11013,9.76834,8.0,46.9151,,,,NaN,,,,0 / 0,66524,2022-03-18 12:16:41:430
0.03831,0.1245,9.7444,8.0,44.6763,,,,NaN,,,,0 / 0,67024,2022-03-18 12:16:41:930
0.02873,0.11013,9.79707,8.0,45.0006,,,,NaN,,,,0 / 0,67524,2022-03-18 12:16:42:430
0.02394,0.11013,9.78271,8.0,45.9885,,,,NaN,,,,0 / 0,68024,2022-03-18 12:16:42:930
0.03352,0.09577,9.80186,8.0,47.5578,,,,NaN,,,,0 / 0,68524,2022-03-18 12:16:43:430
0.02873,0.07661,9.77792,8.0,50.3793,,,,NaN,,,,0 / 0,69024,2022-03-18 12:16:43:930
0.01437,0.12929,9.75398,8.0,53.5282,,,,NaN,,,,0 / 0,69524,2022-03-18 12:16:44:430
0.01915,0.10056,9.77792,8.0,61.889,,,,NaN,,,,0 / 0,70024,2022-03-18 12:16:44:930
0.03831,0.11013,9.78271,8.0,58.1505,,,,NaN,,,,0 / 0,70524,2022-03-18 12:16:45:430
0.02394,0.10056,9.79229,8.0,55.5339,,,,NaN,,,,0 / 0,71024,2022-03-18 12:16:45:930
0.03352,0.11492,9.75877,8.0,51.4787,,,,NaN,,,,0 / 0,71524,2022-03-18 12:16:46:430
0.06225,0.13408,9.77313,8.0,60.0777,,,,NaN,,,,0 / 0,72023,2022-03-18 12:16:46:929
0.03352,0.10534,9.78271,8.0,51.0789,,,,NaN,,,,0 / 0,72523,2022-03-18 12:16:47:429
